winery,winename,country,region,rating,numberOfRatings,wineHtmlLink
Mt. Monster,Cabernet 2015,Australia,Limestone Coast,3.5,54,https://www.vivino.com/mt-monster-cabernet/w/1131269?year=2015&price_id=20765916
Santa Rita,120 Reserva Especial Cabernet Sauvignon 2018,Chile,Maipo Valley,3.4,1626,https://www.vivino.com/santa-rita-onehundredtwenty-reserva-especial-cabernet-sauvignon/w/1291282?year=2018&price_id=21298762
Aurora,Reserva Cabernet Sauvignon 2017,Brazil,Serra Gaúcha,3.4,857,https://www.vivino.com/aurora-reserva-cabernet-sauvignon/w/1149700?year=2017&price_id=20623355
Foncalieu,Le Versant Pinot Noir 2017,France,Pays d'Oc,3.4,473,https://www.vivino.com/foncalieu-le-versant-pinot-noir/w/1239965?year=2017&price_id=18228181
Librandi,Cirò Classico Rosso 2017,Italy,Cirò,3.4,316,https://www.vivino.com/librandi-antonio-and-nicoderno-spa-ciro-classico-rosso/w/1199664?year=2017&price_id=21213583
Indomita,Varietal Cabernet Sauvignon 2019,Chile,Central Valley,3.4,180,https://www.vivino.com/indomita-varietal-cabernet-sauvignon/w/74072?year=2019&price_id=20858462
Elderton,E Series Shiraz - Cabernet Sauvignon 2016,Australia,South Australia,3.4,128,https://www.vivino.com/elderton-e-series-shiraz-cabernet-sauvignon/w/80596?year=2016&price_id=20765907
Willunga 100,The Olive Branch Shiraz - Grenache 2017,Australia,McLaren Vale,3.4,102,https://www.vivino.com/willunga-100-the-olive-branch-shiraz-grenache-mclaren-vale/w/7496498?year=2017&price_id=21643847
Woolshed,Merlot 2017,Australia,Victoria,3.4,46,https://www.vivino.com/woolshed-merlot/w/1643442?year=2017&price_id=20226361
Woolshed,Shiraz 2017,Australia,Victoria,3.4,44,https://www.vivino.com/woolshed-shiraz/w/1255737?year=2017&price_id=20226367
Indomita,Varietal Merlot 2019,Chile,Central Valley,3.4,36,https://www.vivino.com/indomita-varietal-merlot/w/74073?year=2019&price_id=21556537
Duck Sauce,Pinot Noir 2018,Australia,Yarra Valley,3.4,30,https://www.vivino.com/duck-sauce-pinot-noir-yarra-valley/w/2685588?year=2018&price_id=21644407
Santa Rita,120 Reserva Especial Merlot 2018,Chile,Rapel Valley,3.3,442,https://www.vivino.com/santa-rita-onehundredtwenty-reserva-especial-merlot/w/1646390?year=2018&price_id=21298765
Château du Grand Plantier,Côtes de Bordeaux 2014,France,Côtes de Bordeaux,3.3,55,https://www.vivino.com/chateau-du-grand-plantier-cotes-de-bordeaux/w/1500405?year=2014&price_id=12674401
Foncalieu,Les Cardounettes Rouge 2017,France,Pays d'Oc,3.2,73,https://www.vivino.com/foncalieu-les-cardounettes-rouge/w/1787201?year=2017&price_id=19880643
Pierre Jean,Merlot 2018,France,Aude,2.9,43,https://www.vivino.com/pierre-jean-merlot/w/1146984?year=2018&price_id=21104569
Woolshed,Cabernet Sauvignon 2017,Australia,Victoria,2.7,37,https://www.vivino.com/woolshed-cabernet-sauvignon/w/1215125?year=2017&price_id=20226357
Castello Sonnino,Cantinino Sangiovese 2015,Italy,Toscana,4.4,47,https://www.vivino.com/castello-sonnino-cantinino-sangiovese/w/1308856?year=2015&price_id=18167859
La Rioja Alta,Viña Ardanza Reserva 2009,Spain,Rioja,4.3,8157,https://www.vivino.com/la-rioja-alta-vina-ardanza-reserva/w/7973?year=2009&price_id=17809920
La Rioja Alta,Viña Ardanza Selección Especial 2010,Spain,Rioja,4.3,3759,https://www.vivino.com/la-rioja-alta-vina-ardanza-seleccion-especial/w/1302651?year=2010&price_id=13400419
La Vicalanda,Reserva 2014,Spain,Rioja,4.3,236,https://www.vivino.com/la-vicalanda-reserva/w/1126221?year=2014&price_id=13080182
Losada,Altos de Losada 2017,Spain,Bierzo,4.3,128,https://www.vivino.com/losada-altos-de-losada/w/1176060?year=2017&price_id=20743321
Salentein,Primus Malbec 2003,Argentina,Tunuyán,4.3,88,https://www.vivino.com/salentein-primus-malbec/w/9998?year=2003&price_id=2895285
Martí Fabra,Masia Carreras Empordà 2017,Spain,Empordà,4.3,50,https://www.vivino.com/celler-marti-fabra-masia-carreras-emporda/w/1100210?year=2017&price_id=20743299
Col di Bacche,Rovente Morellino di Scansano 2015,Italy,Morellino di Scansano,4.3,43,https://www.vivino.com/col-di-bacche-rovente-morellino-di-scansano/w/1249641?year=2015&price_id=18445378
Domaine La Barroche,Liberty 2017,France,Southern Rhône,4.3,29,https://www.vivino.com/fr-la-barroche-liberty-southern-rhone/w/5985470?year=2017&price_id=19219531
Emilio Moro,Tinto 2017,Spain,Ribera del Duero,4.2,3093,https://www.vivino.com/emilio-moro-tinto/w/1386686?year=2017&price_id=19481004
Juan Gil,Jumilla Blue Label 2017,Spain,Jumilla,4.2,1152,https://www.vivino.com/juan-gil-jumilla-blue-label/w/1713612?year=2017&price_id=19645581
Atalaya,La Atalaya del Camino 2017,Spain,Almansa,4.2,559,https://www.vivino.com/atalaya-almansa-la-atalaya-del-camino/w/3652602?year=2017&price_id=20130500
Tinto Pesquera,Crianza 2017,Spain,Ribera del Duero,4.2,540,https://www.vivino.com/tinto-pesquera-crianza/w/2317863?year=2017&price_id=20183634
Castillo Perelada,Empordà Finca Malaveïna 2016,Spain,Empordà,4.2,418,https://www.vivino.com/castillo-perelada-emporda-finca-malaveina/w/99336?year=2016&price_id=13079924
Huerta de Albala,Taberner Tierra de Cádiz 2015,Spain,Cádiz,4.2,389,https://www.vivino.com/huerta-de-albala-taberner-tierra-de-cadiz/w/1733516?year=2015&price_id=13874022
Marchesi di Barolo,Peiragal Barbera d'Alba 2017,Italy,Barbera d'Alba,4.2,375,https://www.vivino.com/marchesi-di-barolo-peiragal-barbera-d-alba-barbera-dalba/w/4343180?year=2017&price_id=19869897
Punica,Montessu 2017,Italy,Isola dei Nuraghi,4.2,345,https://www.vivino.com/agricola-punica-spa-montessu/w/1126888?year=2017&price_id=21393291
Cà dei Frati,Ronchedone Rosso 2017,Italy,Lombardia,4.2,250,https://www.vivino.com/ca-dei-frati-ronchedone-rosso/w/9755?year=2017&price_id=21097982
Lucien Crochet,La Croix du Roy Sancerre Rouge 2015,France,Sancerre,4.2,133,https://www.vivino.com/lucien-crochet-la-croix-du-roy-sancerre-rouge/w/16668?year=2015&price_id=21527783
Maccone,Rosso 17° 2015,Italy,Puglia,4.2,123,https://www.vivino.com/maccone-rosso-17deg/w/1491171?year=2015&price_id=12133135
El Sequé,Monastrell By El Sequé 2017,Spain,Alicante,4.2,113,https://www.vivino.com/el-seque-monastrell-by-el-seque/w/1163999?year=2017&price_id=19572428
Tridente,Prieto Picudo 2016,Spain,Castilla y León,4.2,109,https://www.vivino.com/tridente-prieto-picudo/w/1535476?year=2016&price_id=17334341
Cantine Pervini,Dunico 2016,Italy,Primitivo di Manduria,4.2,85,https://www.vivino.com/cantine-pervini-dunico/w/82656?year=2016&price_id=19090831
Ferruccio Carlotto,Lagrein 2017,Italy,Südtirol - Alto Adige,4.2,40,https://www.vivino.com/ferruccio-carlotto-lagrein/w/1209359?year=2017&price_id=19357592
Mansalto,Castello Rapale 2016,Italy,Toscana,4.2,53,https://www.vivino.com/mansalto-castello-rapale/w/6280210?year=2016&price_id=21034608
Pago de Vallegarcía,Montes de Toledo Syrah 2017,Spain,Castilla,4.2,51,https://www.vivino.com/pago-de-vallegarcia-montes-de-toledo-syrah/w/1133054?year=2017&price_id=20071038
Gian Luca Colombo,Barbera d'Alba Superiore 2017,Italy,Barbera d'Alba,4.2,47,https://www.vivino.com/gian-luca-colombo-barbera-d-alba-superiore/w/6126921?year=2017&price_id=20523564
Escoda-Sanahuja,Les Paradetes 2018,Spain,Conca de Barberà,4.2,40,https://www.vivino.com/escoda-sanahuja-les-paradetes/w/1196345?year=2018&price_id=21251263
Lo Zoccolaio,Suculé Barbera d'Alba 2016,Italy,Barbera d'Alba,4.2,40,https://www.vivino.com/lo-zoccolaio-sucule-barbera-d-alba/w/1146498?year=2016&price_id=20727612
Trabucchi d'Illasi,Terra del Cereolo Valpolicella Superiore 2008,Italy,Valpolicella,4.2,57,https://www.vivino.com/trabucchi-terra-del-cereolo-valpolicella-superiore/w/1187468?year=2008&price_id=11133660
Moncaro,Conero Riserva Vigneti Del Parco 2011,Italy,Rosso Conero Riserva,4.2,33,https://www.vivino.com/moncaro-conero-riserva-vigneti-del-parco/w/18069?year=2011&price_id=21323392
Marqués de Murrieta,Reserva Rioja (Finca Ygay) 2015,Spain,Rioja,4.1,4404,https://www.vivino.com/marques-de-murrieta-reserva-rioja-finca-ygay/w/10998?year=2015&price_id=18943304
Doppio Passo,Primitivo 2019,Italy,Salento,4.1,3285,https://www.vivino.com/doppio-passo-primitivo/w/1141907?year=2019&price_id=21609427
Remelluri,Rioja Reserva 2011,Spain,Rioja,4.1,2591,https://www.vivino.com/remelluri-rioja-reserva/w/89013?year=2011&price_id=18295171
Borsao,Tres Picos Garnacha 2017,Spain,Campo de Borja,4.1,2493,https://www.vivino.com/borsao-tres-picos-garnacha/w/35374?year=2017&price_id=18295182
Tormaresca,Primitivo Salento Torcicoda 2017,Italy,Salento,4.1,2371,https://www.vivino.com/tormaresca-srl-primitivo-salento-torcicoda/w/60984?year=2017&price_id=18253455
Carmelo Rodero,Ribera del Duero Crianza 2016,Spain,Ribera del Duero,4.1,2143,https://www.vivino.com/rodero-ribera-del-duero-crianza/w/76284?year=2016&price_id=17334416
Masciarelli,Montepulciano d'Abruzzo Marina Cvetic 2016,Italy,Montepulciano d'Abruzzo,4.1,1241,https://www.vivino.com/masciarelli-abruzzo-montepulciano-d-abruzzo-marina-cvetic/w/93055?year=2016&price_id=20217831
Pago de Los Capellanes,Joven Roble Tinto 2018,Spain,Ribera del Duero,4.1,1199,https://www.vivino.com/pago-de-los-capellanes-joven-roble-tinto/w/16227?year=2018&price_id=19201310
Viña Pomal,Terruño Centenario Reserva 2014,Spain,Rioja,4.1,1119,https://www.vivino.com/pomal-terruno-centenario-reserva-la-rioja/w/1514598?year=2014&price_id=13114514
Pago de Los Capellanes,Crianza Tinto 2017,Spain,Ribera del Duero,4.1,762,https://www.vivino.com/pago-de-los-capellanes-crianza-tinto/w/16226?year=2017&price_id=20302280
Protos,Crianza 2016,Spain,Ribera del Duero,4.1,592,https://www.vivino.com/protos-crianza/w/1135271?year=2016&price_id=20848060
Bodegas Mas Alta,Els Pics 2017,Spain,Priorat,4.1,552,https://www.vivino.com/bodegas-mas-alta-els-pics/w/83825?year=2017&price_id=18187372
Domaine Raspail-Ay,Gigondas 2016,France,Gigondas,4.1,518,https://www.vivino.com/raspail-gigondas/w/1125308?year=2016&price_id=20414402
Carmelo Rodero,Ribera del Duero Crianza 2017,Spain,Ribera del Duero,4.1,505,https://www.vivino.com/rodero-ribera-del-duero-crianza/w/76284?year=2017&price_id=20302286
Arzuaga,Ribera del Duero Crianza 2017,Spain,Ribera del Duero,4.1,472,https://www.vivino.com/bodegas-arzuaga-navarro-sl-ribera-del-duero-crianza/w/7932?year=2017&price_id=20569347
Gulfi,Cerasuolo Di Vittoria 2017,Italy,Cerasuolo di Vittoria,4.1,443,https://www.vivino.com/gulfi-cerasuolo-di-vittoria/w/27324?year=2017&price_id=16773660
Château de Reignac,Grand Vin de Reignac (Cuvée Spéciale) Bordeaux Supérieur 2015,France,Bordeaux Supérieur,4.1,438,https://www.vivino.com/reignac-grand-vin-de-reignac-cuvee-speciale-bordeaux-superieur/w/1218240?year=2015&price_id=8686295
Viña Sastre,Ribera del Duero Crianza 2016,Spain,Ribera del Duero,4.1,435,https://www.vivino.com/vina-sastre-ribera-del-duero-crianza/w/736563?year=2016&price_id=13703822
Bodega Contador (Benjamín Romeo),Predicador Rioja 2017,Spain,Rioja,4.1,415,https://www.vivino.com/es-contador-predicador-rioja/w/98836?year=2017&price_id=19608991
Antinori,Villa Antinori Chianti Classico Riserva 2016,Italy,Chianti Classico,4.1,362,https://www.vivino.com/antinori-tuscany-villa-antinori-chianti-classico-riserva/w/1143960?year=2016&price_id=20708181
Marqués de Griñon,Svmma Varietalis Red Blend (Summa) 2014,Spain,Dominio de Valdepusa,4.1,361,https://www.vivino.com/marques-de-grinon-svmma-varietalis-red-blend-summa/w/1184099?year=2014&price_id=17659029
Flechas de los Andes,Gran Corte 2010,Argentina,Vista Flores,4.1,338,https://www.vivino.com/ar-flechas-de-los-andes-gran-corte/w/1154129?year=2010&price_id=14650496
Dehesa de Los Canónigos,Crianza 2016,Spain,Ribera del Duero,4.1,335,https://www.vivino.com/es-dehesa-de-los-canonigos-crianza/w/1176638?year=2016&price_id=19645589
Forteto della Luja,Le Grive 2017,Italy,Monferrato,4.1,314,https://www.vivino.com/forteto-della-luja-le-grive/w/1170665?year=2017&price_id=17512264
Charles et Francois Tardy,Domaine des Entrefaux Crozes-Hermitage 2018,France,Crozes-Hermitage,4.1,312,https://www.vivino.com/domaine-des-entrefaux-domaine-des-entrefaux-crozes-hermitage/w/1253246?year=2018&price_id=20048867
Antinori,Villa Antinori Rosso 2017,Italy,Toscana,4.1,308,https://www.vivino.com/antinori-tuscany-villa-antinori-rosso/w/1656?year=2017&price_id=21034590
Borgo Scopeto,Borgonero 2016,Italy,Toscana,4.1,301,https://www.vivino.com/borgo-scopeto-borgonero/w/4287?year=2016&price_id=21598032
Rimauresq,Côtes de Provence (Cru Classé) 2018,France,Côtes de Provence,4.1,299,https://www.vivino.com/rimauresq-cotes-de-provence-cru-classe-rouge/w/94838?year=2018&price_id=19092647
Pegasus Bay,Merlot - Cabernet 2016,New Zealand,Waipara,4.1,253,https://www.vivino.com/pegasus-bay-winery-merlot-cabernet/w/16118?year=2016&price_id=17039137
Castello della Paneretta,Chianti Classico 2016,Italy,Chianti Classico,4.1,244,https://www.vivino.com/castello-della-paneretta-chianti-classico/w/1099921?year=2016&price_id=19750342
Château Paloumey,Haut-Médoc 2016,France,Haut-Médoc,4.1,240,https://www.vivino.com/chateau-paloumey-haut-medoc/w/80458?year=2016&price_id=20025316
Crociani,Vino Nobile di Montepulciano Riserva 2015,Italy,Vino Nobile di Montepulciano,4.1,218,https://www.vivino.com/crociani-vino-nobile-di-montepulciano-riserva/w/1166214?year=2015&price_id=21562788
Quinta Sardonia,QS2 2016,Spain,Castilla y León,4.1,215,https://www.vivino.com/quinta-sardonia-qs2/w/1137635?year=2016&price_id=17334383
San Marzano,Talò Primitivo di Manduria 2018,Italy,Primitivo di Manduria,4.1,193,https://www.vivino.com/san-marzano-talo-primitivo-di-manduria/w/2272631?year=2018&price_id=20948467
Comm. G.B. Burlotto,Barbera d'Alba Aves 2017,Italy,Barbera d'Alba,4.1,180,https://www.vivino.com/burlotto-gb-comm-barbera-d-alba-aves/w/1868925?year=2017&price_id=17981763
R. López de Heredia Viña Tondonia,Viña Cubillo 2011,Spain,Rioja Alta,4.1,164,https://www.vivino.com/r-lopez-de-heredia-vina-tondonia-vina-cubillo/w/1529357?year=2011&price_id=13687213
Terre di San Vito,Il Vescovo 2014,Italy,Puglia,4.1,145,https://www.vivino.com/terre-di-san-vito-il-vescovo/w/1220893?year=2014&price_id=19124168
Matteo Correggia,La Val dei Preti (Nebbiolo d'Alba) 2015,Italy,Roero,4.1,138,https://www.vivino.com/it-matteo-correggia-la-val-dei-preti-nebbiolo-d-alba/w/1187207?year=2015&price_id=18648768
Trabucchi d'Illasi,Terra del Cereolo Valpolicella Superiore 2007,Italy,Valpolicella,4.1,137,https://www.vivino.com/trabucchi-terra-del-cereolo-valpolicella-superiore/w/1187468?year=2007&price_id=11134967
Gramenon,La Sagesse 2017,France,Côtes-du-Rhône,4.1,131,https://www.vivino.com/domaine-gramenon-la-sagesse/w/1160488?year=2017&price_id=19928706
Quarta Generazione,Aglianico del Vulture 2013,Italy,Aglianico del Vulture,4.1,128,https://www.vivino.com/quarta-generazione-aglianico-del-vulture/w/4470916?year=2013&price_id=11159613
Feudi Salentini,Sassirossi Primitivo di Manduria 2017,Italy,Primitivo di Manduria,4.1,122,https://www.vivino.com/feudi-salentini-sassirossi-primitivo-di-manduria/w/4420111?year=2017&price_id=18777244
Mas Asturias,Massuria 2013,Spain,Bierzo,4.1,112,https://www.vivino.com/mas-asturias-massuria/w/2927323?year=2013&price_id=13960233
Matarromera,Crianza 2017,Spain,Ribera del Duero,4.1,92,https://www.vivino.com/matarromera-crianza/w/12264?year=2017&price_id=20988496
Castillo Perelada,Monastrell - Syrah Empordà Finca Espolla 2016,Spain,Empordà,4.1,89,https://www.vivino.com/castillo-perelada-monastrell-syrah-emporda-finca-espolla/w/99331?year=2016&price_id=19928749
Terenzi,Francesca Romana Maremma Toscana 2015,Italy,Maremma Toscana,4.1,84,https://www.vivino.com/terenzi-francesca-romana-maremma-toscana/w/1167319?year=2015&price_id=17176958
Cascina Tavijn,68 2018,Italy,Monferrato,4.1,84,https://www.vivino.com/cascina-tavijn-sixtyeight/w/7613097?year=2018&price_id=20027973
Jean-Michel Alquier,La Maison Jaune Faugères 2014,France,Faugères,4.1,81,https://www.vivino.com/jean-michel-alquier-la-maison-jaune-faugeres/w/1160505?year=2014&price_id=11574077
Maxime-François Laurent,La Rubiconde 2016,France,Côtes-du-Rhône,4.1,80,https://www.vivino.com/maxime-francois-laurent-la-rubiconde-cotes-du-rhone/w/5991064?year=2016&price_id=18530551
Tenuta Ulisse,Nativae Montepulciano D'Abruzzo 2016,Italy,Montepulciano d'Abruzzo,4.1,79,https://www.vivino.com/tenuta-ulisse-nativae-montepulciano-d-abruzzo/w/1816271?year=2016&price_id=17709585
Marques de Vargas,Reserva 2015,Spain,Rioja,4.1,74,https://www.vivino.com/marques-de-vargas-reserva/w/1138894?year=2015&price_id=21251316
Maude,Pinot Noir 2018,New Zealand,Central Otago,4.1,73,https://www.vivino.com/maude-pinot-noir/w/1158335?year=2018&price_id=19373252
Sons of Eden,Marschall Shiraz 2018,Australia,Barossa,4.1,72,https://www.vivino.com/sons-of-eden-marschall-shiraz/w/3250426?year=2018&price_id=21442321
Portal del Montsant,Santbru 2016,Spain,Montsant,4.1,71,https://www.vivino.com/portal-del-monstant-santbru/w/100024?year=2016&price_id=14264537
Selva Capuzza,Madér Garda Classico Rosso Superiore 2013,Italy,Garda,4.1,70,https://www.vivino.com/selva-capuzza-mader-garda-classico-rosso-superiore/w/1417003?year=2013&price_id=20755717
Prunotto,Mompertone Monferrato 2016,Italy,Monferrato,4.1,67,https://www.vivino.com/prunotto-mompertone-monferrato/w/1136534?year=2016&price_id=20755681
Acustic Celler,Montsant Braó Vinyes Velles de 60 Ans 2016,Spain,Montsant,4.1,67,https://www.vivino.com/acustic-celler-montsant-brao-vinyes-velles-de-60-ans/w/80369?year=2016&price_id=13843034
Gian Luca Colombo,Nu Rosso 2018,Italy,Piemonte,4.1,63,https://www.vivino.com/gian-luca-colombo-nu-rosso/w/5834639?year=2018&price_id=20352316
Château de Reignac,Bordeaux Supérieur 2017,France,Bordeaux Supérieur,4.1,62,https://www.vivino.com/reignac-bordeaux-superieur/w/1184321?year=2017&price_id=17599061
Bodegas Ateca,Atteca Garnacha (Old Vines) 2017,Spain,Calatayud,4.1,61,https://www.vivino.com/bodegas-ateca-atteca-garnacha-old-vines/w/1183710?year=2017&price_id=20988478
Domaine Chignard,Fleurie Les Moriers 2018,France,Fleurie,4.1,61,https://www.vivino.com/domaine-chignard-fleurie-les-moriers/w/1111790?year=2018&price_id=20962620
Setriolo,Chianti Classico 2015,Italy,Chianti Classico,4.1,61,https://www.vivino.com/setriolo-chianti-classico/w/1225844?year=2015&price_id=18341129
Ciacci Piccolomini d'Aragona,Rosso di Montalcino 2018,Italy,Rosso di Montalcino,4.1,60,https://www.vivino.com/ciacci-piccolomini-d-aragona-rosso-di-montalcino/w/1138794?year=2018&price_id=20997483
Pietra Pura,Mandus Primitivo di Manduria 2018,Italy,Primitivo di Manduria,4.1,60,https://www.vivino.com/pietra-pura-mandus-primitivo-di-manduria/w/1264139?year=2018&price_id=20719348
Nittardi,Belcanto Chianti Classico 2016,Italy,Chianti Classico,4.1,57,https://www.vivino.com/fattoria-nittardi-belcanto-chianti-classico/w/2768107?year=2016&price_id=20727760
Domaine Breton - Catherine & Pierre Breton,Les Galichets 2016,France,Bourgueil,4.1,51,https://www.vivino.com/fr-domaine-breton-les-galichets/w/1812479?year=2016&price_id=19849109
Boasso,Barbera d'Alba Superiore 2017,Italy,Barbera d'Alba,4.1,51,https://www.vivino.com/boasso-barbera-d-alba-superiore/w/1378185?year=2017&price_id=20617466
Domaine la Bouysse,Mazérac Corbiéres Boutenac 2015,France,Corbières Boutenac,4.1,50,https://www.vivino.com/domaine-la-bouysse-mazerac-corbieres-boutenac/w/1183562?year=2015&price_id=19231743
Andréa Calek,A Toi Nous 2019,France,Vin de Pays,4.1,49,https://www.vivino.com/andrea-calek-a-toi-nous/w/1721321?year=2019&price_id=21605092
Curii Uvas & Vinos,Una Noche y Un Dia 2016,Spain,Alicante,4.1,44,https://www.vivino.com/curii-una-noche-y-un-dia/w/5932425?year=2016&price_id=13976600
Les Vignes Oubliées,Terrasses du Larzac 2018,France,Terrasses du Larzac,4.1,43,https://www.vivino.com/jean-baptiste-granier-terrasses-du-larzac/w/1535654?year=2018&price_id=21202458
Craggy Range,Syrah Gimblett Gravels Vineyard 2018,New Zealand,Gimblett Gravels,4.1,37,https://www.vivino.com/craggy-range-syrah-gimblett-gravels-vineyard/w/2396111?year=2018&price_id=20360918
Santadi,Shardana 2013,Italy,Valli di Porto Pino,4.1,37,https://www.vivino.com/cantina-di-santadi-shardana/w/18001?year=2013&price_id=21590354
Cinciano,Chianti Classico Riserva 2016,Italy,Chianti Classico,4.1,35,https://www.vivino.com/cinciano-chianti-classico-riserva/w/1254735?year=2016&price_id=21661098
Domaine Modat,Sans Plus Attendre Côtes du Roussillon Villages 2016,France,Côtes du Roussillon Villages,4.1,35,https://www.vivino.com/modat-sans-plus-attendre-cotes-du-roussillon-villages-caramany/w/1185921?year=2016&price_id=18061994
Hic et Nunc,Càstore Barbera del Monferrato 2016,Italy,Barbera del Monferrato,4.1,35,https://www.vivino.com/hic-et-nunc-castore-barbera-del-monferrato/w/6024466?year=2016&price_id=15389815
Stephane Montez - Domaine du Monteillet,Saint-Joseph 2018,France,Saint-Joseph,4.1,34,https://www.vivino.com/stephane-montez-saint-joseph/w/1163577?year=2018&price_id=21275744
Les Clos Perdus,Prioundo Corbières 2015,France,Corbières,4.1,34,https://www.vivino.com/clos-perdus-prioundo-corbieres/w/1250118?year=2015&price_id=20624720
Lucien Crochet,Sancerre Rouge 2017,France,Sancerre,4.1,33,https://www.vivino.com/lucien-crochet-sancerre-rouge-sancerre/w/6279158?year=2017&price_id=18965346
Bertani,Secco-Bertani Original Vintage Edition 2016,Italy,Verona,4.1,32,https://www.vivino.com/bertani-secco-bertani-original-vintage-edition/w/1406536?year=2016&price_id=20190557
Château de Parenchère,Esprit de Parenchère Bordeaux Supérieur 2015,France,Bordeaux Supérieur,4.1,32,https://www.vivino.com/chateau-de-parenchere-esprit-de-parenchere-bordeaux-superieur/w/1586399?year=2015&price_id=17602801
Vigneti Massa,Pertichetta Croatina 2012,Italy,Colli Tortonesi,4.1,32,https://www.vivino.com/vigneti-massa-pertichetta-croatina/w/1517982?year=2012&price_id=21657244
Angeli di Varano,Stile Libero Conero Riserva 2013,Italy,Rosso Conero Riserva,4.1,31,https://www.vivino.com/it-angeli-di-varano-stile-libero-conero-riserva/w/1604342?year=2013&price_id=20041220
Domaine Elodie Balme,Rasteau 2018,France,Rasteau,4.1,31,https://www.vivino.com/elodie-balme-rasteau/w/1290457?year=2018&price_id=20624754
